timestamp,dam_price_inr_per_kwh
2026-03-05 21:00:00,5.182
2026-03-05 22:00:00,5.179
2026-03-05 23:00:00,4.634
2026-03-06 00:00:00,3.722
2026-03-06 01:00:00,3.552
2026-03-06 02:00:00,3.67
2026-03-06 03:00:00,3.201
2026-03-06 04:00:00,3.417
2026-03-06 05:00:00,3.791
2026-03-06 06:00:00,3.168
2026-03-06 07:00:00,4.378
2026-03-06 08:00:00,4.163
2026-03-06 09:00:00,5.162
2026-03-06 10:00:00,5.048
2026-03-06 11:00:00,5.635
2026-03-06 12:00:00,5.542
2026-03-06 13:00:00,5.091
2026-03-06 14:00:00,5.684
2026-03-06 15:00:00,5.62
2026-03-06 16:00:00,5.176
2026-03-06 17:00:00,5.09
2026-03-06 18:00:00,5.013
2026-03-06 19:00:00,4.956
2026-03-06 20:00:00,5.327
2026-03-06 21:00:00,4.557
2026-03-06 22:00:00,4.279
2026-03-06 23:00:00,3.789
2026-03-07 00:00:00,3.543
2026-03-07 01:00:00,3.381
2026-03-07 02:00:00,4.014
2026-03-07 03:00:00,3.661
2026-03-07 04:00:00,3.941
2026-03-07 05:00:00,3.703
2026-03-07 06:00:00,3.526
2026-03-07 07:00:00,4.084
2026-03-07 08:00:00,4.46
2026-03-07 09:00:00,4.975
2026-03-07 10:00:00,5.165
2026-03-07 11:00:00,5.366
2026-03-07 12:00:00,5.165
2026-03-07 13:00:00,5.273
2026-03-07 14:00:00,5.786
2026-03-07 15:00:00,5.092
2026-03-07 16:00:00,4.928
2026-03-07 17:00:00,5.242
2026-03-07 18:00:00,5.405
2026-03-07 19:00:00,4.836
2026-03-07 20:00:00,5.001
2026-03-07 21:00:00,4.534
2026-03-07 22:00:00,3.852
2026-03-07 23:00:00,4.171
2026-03-08 00:00:00,4.249
2026-03-08 01:00:00,4.273
2026-03-08 02:00:00,4.067
2026-03-08 03:00:00,4.369
2026-03-08 04:00:00,4.12
2026-03-08 05:00:00,4.219
2026-03-08 06:00:00,3.978
2026-03-08 07:00:00,4.487
2026-03-08 08:00:00,5.624
2026-03-08 09:00:00,5.592
2026-03-08 10:00:00,6.121
2026-03-08 11:00:00,6.248
2026-03-08 12:00:00,6.226
2026-03-08 13:00:00,6.169
2026-03-08 14:00:00,6.336
2026-03-08 15:00:00,5.974
2026-03-08 16:00:00,5.933
2026-03-08 17:00:00,5.937
2026-03-08 18:00:00,6.105
2026-03-08 19:00:00,6.15
2026-03-08 20:00:00,5.906
2026-03-08 21:00:00,5.255
2026-03-08 22:00:00,4.59
2026-03-08 23:00:00,4.823
2026-03-09 00:00:00,4.497
2026-03-09 01:00:00,4.22
2026-03-09 02:00:00,4.39
2026-03-09 03:00:00,4.45
2026-03-09 04:00:00,4.463
2026-03-09 05:00:00,4.485
2026-03-09 06:00:00,4.141
2026-03-09 07:00:00,5.169
2026-03-09 08:00:00,4.978
2026-03-09 09:00:00,5.934
2026-03-09 10:00:00,6.172
2026-03-09 11:00:00,6.475
2026-03-09 12:00:00,6.806
2026-03-09 13:00:00,6.667
2026-03-09 14:00:00,5.892
2026-03-09 15:00:00,5.627
2026-03-09 16:00:00,6.175
2026-03-09 17:00:00,5.678
2026-03-09 18:00:00,5.808
2026-03-09 19:00:00,6.19
2026-03-09 20:00:00,5.4
2026-03-09 21:00:00,4.869
2026-03-09 22:00:00,5.001
2026-03-09 23:00:00,4.596
2026-03-10 00:00:00,4.194
2026-03-10 01:00:00,4.265
2026-03-10 02:00:00,4.04
2026-03-10 03:00:00,3.877
2026-03-10 04:00:00,4.213
2026-03-10 05:00:00,4.012
2026-03-10 06:00:00,3.844
2026-03-10 07:00:00,4.917
2026-03-10 08:00:00,7.558
2026-03-10 09:00:00,5.82
2026-03-10 10:00:00,5.801
2026-03-10 11:00:00,6.092
2026-03-10 12:00:00,6.086
2026-03-10 13:00:00,6.075
2026-03-10 14:00:00,6.227
2026-03-10 15:00:00,5.853
2026-03-10 16:00:00,6.06
2026-03-10 17:00:00,6.017
2026-03-10 18:00:00,6.317
2026-03-10 19:00:00,5.632
2026-03-10 20:00:00,6.033
2026-03-10 21:00:00,5.374
2026-03-10 22:00:00,4.932
2026-03-10 23:00:00,4.223
2026-03-11 00:00:00,4.14
2026-03-11 01:00:00,4.441
2026-03-11 02:00:00,4.234
2026-03-11 03:00:00,4.275
2026-03-11 04:00:00,4.182
2026-03-11 05:00:00,4.544
2026-03-11 06:00:00,4.25
2026-03-11 07:00:00,4.241
2026-03-11 08:00:00,5.117
2026-03-11 09:00:00,5.227
2026-03-11 10:00:00,5.235
2026-03-11 11:00:00,6.124
2026-03-11 12:00:00,6.669
2026-03-11 13:00:00,6.308
2026-03-11 14:00:00,5.885
2026-03-11 15:00:00,5.814
2026-03-11 16:00:00,6.253
2026-03-11 17:00:00,5.971
2026-03-11 18:00:00,5.823
2026-03-11 19:00:00,5.967
2026-03-11 20:00:00,5.82
2026-03-11 21:00:00,5.597
2026-03-11 22:00:00,5.074
2026-03-11 23:00:00,4.639
2026-03-12 00:00:00,3.994
2026-03-12 01:00:00,4.383
2026-03-12 02:00:00,4.084
2026-03-12 03:00:00,4.528
2026-03-12 04:00:00,3.937
2026-03-12 05:00:00,4.221
2026-03-12 06:00:00,4.253
2026-03-12 07:00:00,4.46
2026-03-12 08:00:00,5.72
2026-03-12 09:00:00,6.084
2026-03-12 10:00:00,5.932
2026-03-12 11:00:00,6.45
2026-03-12 12:00:00,6.431
2026-03-12 13:00:00,5.643
2026-03-12 14:00:00,6.241
2026-03-12 15:00:00,6.034
2026-03-12 16:00:00,5.992
2026-03-12 17:00:00,5.663
2026-03-12 18:00:00,5.743
2026-03-12 19:00:00,5.935
2026-03-12 20:00:00,6.108
2026-03-12 21:00:00,5.48
2026-03-12 22:00:00,4.934
2026-03-12 23:00:00,4.968
2026-03-13 00:00:00,3.561
2026-03-13 01:00:00,3.603
2026-03-13 02:00:00,3.246
2026-03-13 03:00:00,4.092
2026-03-13 04:00:00,3.941
2026-03-13 05:00:00,3.929
2026-03-13 06:00:00,3.867
2026-03-13 07:00:00,4.193
2026-03-13 08:00:00,4.654
2026-03-13 09:00:00,4.91
2026-03-13 10:00:00,5.208
2026-03-13 11:00:00,5.454
2026-03-13 12:00:00,5.887
2026-03-13 13:00:00,5.614
2026-03-13 14:00:00,5.358
2026-03-13 15:00:00,5.115
2026-03-13 16:00:00,5.033
2026-03-13 17:00:00,5.559
2026-03-13 18:00:00,5.179
2026-03-13 19:00:00,5.217
2026-03-13 20:00:00,4.966
2026-03-13 21:00:00,4.415
2026-03-13 22:00:00,4.275
2026-03-13 23:00:00,4.206
2026-03-14 00:00:00,3.602
2026-03-14 01:00:00,3.643
2026-03-14 02:00:00,3.645
2026-03-14 03:00:00,3.727
2026-03-14 04:00:00,3.302
2026-03-14 05:00:00,3.641
2026-03-14 06:00:00,3.486
2026-03-14 07:00:00,4.387
2026-03-14 08:00:00,4.407
2026-03-14 09:00:00,5.117
2026-03-14 10:00:00,5.64
2026-03-14 11:00:00,5.362
2026-03-14 12:00:00,5.359
2026-03-14 13:00:00,5.523
2026-03-14 14:00:00,8.673
2026-03-14 15:00:00,5.012
2026-03-14 16:00:00,5.307
2026-03-14 17:00:00,5.662
2026-03-14 18:00:00,4.988
2026-03-14 19:00:00,5.149
2026-03-14 20:00:00,4.792
2026-03-14 21:00:00,4.772
2026-03-14 22:00:00,3.98
2026-03-14 23:00:00,3.711
